dims,caces,controls,total
6739,0.3968,0.8966,0.6867
6739,0.3492,0.9540,0.7000
6739,0.3492,0.9195,0.6800
6739,0.3016,0.9425,0.6733
6739,0.4444,0.9080,0.7133
3397,0.3175,0.8736,0.6400
3397,0.2222,0.9425,0.6400
3397,0.3016,0.8966,0.6467
3397,0.2381,0.9080,0.6267
3397,0.3333,0.9655,0.7000
2285,0.2381,0.8966,0.6200
2285,0.2063,0.9540,0.6400
2285,0.2063,0.8736,0.5933
2285,0.2222,0.9310,0.6333
2285,0.2222,0.8851,0.6067
1847,0.2381,0.9195,0.6333
1847,0.2540,0.9195,0.6400
1847,0.2222,0.9195,0.6267
1847,0.2381,0.9770,0.6667
1847,0.1746,0.9195,0.6067
1589,0.1905,0.9425,0.6267
1589,0.1111,0.9310,0.5867
1589,0.2381,0.8966,0.6200
1589,0.2222,0.9310,0.6333
1589,0.1746,0.8966,0.5933
1421,0.1429,0.9310,0.6000
1421,0.2698,0.8506,0.6067
1421,0.1746,0.9080,0.6000
1421,0.1746,0.9195,0.6067
1421,0.1111,0.8851,0.5600
1312,0.1587,0.9425,0.6133
1312,0.1587,0.9540,0.6200
1312,0.2222,0.9425,0.6400
1312,0.2222,0.9080,0.6200
1312,0.2063,0.9310,0.6267
1220,0.1587,0.9770,0.6333
1220,0.1429,0.9425,0.6067
1220,0.1587,0.9195,0.6000
1220,0.2222,0.8966,0.6133
1220,0.1270,0.8736,0.5600
1156,0.1746,0.9310,0.6133
1156,0.1429,0.9770,0.6267
1156,0.1270,0.9310,0.5933
1156,0.1587,0.9425,0.6133
1156,0.1746,0.9655,0.6333
1108,0.1587,0.9425,0.6133
1108,0.1429,0.9540,0.6133
1108,0.2698,0.9655,0.6733
1108,0.1270,0.9540,0.6067
1108,0.0476,0.9425,0.5667
6739,0.2857,0.8851,0.6333
6739,0.3175,0.9310,0.6733
6739,0.3492,0.9425,0.6933
