kind,dim,acc_n,acc_p,Accuracy,Precision,Recall
SM-compressed,2625,0.5806,0.7368,0.6400,0.5185,0.7368
SM-compressed,2625,0.6129,0.7895,0.6800,0.5556,0.7895
SM-compressed,2625,0.6774,0.6842,0.6800,0.5652,0.6842
SM-compressed,2625,0.7419,0.7368,0.7400,0.6364,0.7368
ND,0.050000,0.1333,0.5556,0.2917,0.2778,0.5556
ND,0.050000,0.2000,0.8889,0.4583,0.4000,0.8889
ND,0.050000,0.2000,0.7778,0.4167,0.3684,0.7778
ND,0.100000,0.4000,0.8889,0.5833,0.4706,0.8889
ND,0.100000,0.3333,0.7778,0.5000,0.4118,0.7778
ND,0.100000,0.4000,0.8889,0.5833,0.4706,0.8889
ND,0.150000,0.2000,0.7778,0.4167,0.3684,0.7778
ND,0.150000,0.4667,0.5556,0.5000,0.3846,0.5556
ND,0.150000,0.3333,0.6667,0.4583,0.3750,0.6667
ND,0.200000,0.7333,0.7778,0.7500,0.6364,0.7778
ND,0.200000,0.4667,1.0000,0.6667,0.5294,1.0000
ND,0.200000,0.2667,0.8889,0.5000,0.4211,0.8889

ND,0.250000,0.6667,0.5556,0.6250,0.5000,0.5556
ND,0.250000,0.3333,0.5556,0.4167,0.3333,0.5556
ND,0.250000,0.4000,0.5556,0.4583,0.3571,0.5556

ND,0.300000,0.7333,0.5556,0.6667,0.5556,0.5556
ND,0.300000,0.7333,0.7778,0.7500,0.6364,0.7778
ND,0.300000,0.6000,0.6667,0.6250,0.5000,0.6667
ND,0.350000,0.6000,0.7778,0.6667,0.5385,0.7778
ND,0.350000,0.6667,0.5556,0.6250,0.5000,0.5556
ND,0.350000,0.4667,0.2222,0.3750,0.2000,0.2222
ND,0.400000,0.4667,0.4444,0.4583,0.3333,0.4444
ND,0.400000,0.5333,0.7778,0.6250,0.5000,0.7778
ND,0.400000,0.5333,0.5556,0.5417,0.4167,0.5556
ND,0.450000,0.6000,0.4444,0.5417,0.4000,0.4444
ND,0.450000,0.6667,0.7778,0.7083,0.5833,0.7778
ND,0.450000,0.5333,0.5556,0.5417,0.4167,0.5556
ND,0.500000,0.6000,0.6667,0.6250,0.5000,0.6667
ND,0.500000,0.4667,0.2222,0.3750,0.2000,0.2222
ND,0.500000,0.4000,0.5556,0.4583,0.3571,0.5556


