time,step,cases,controls,total
1,0.05,0.7368,0.3548,0.5000
2,0.05,0.7895,0.2581,0.4600
3,0.05,0.6316,0.3226,0.4400
4,0.05,0.7895,0.4194,0.5600
5,0.05,0.8421,0.3548,0.5400
1,0.1,0.6842,0.4194,0.5200
2,0.1,0.8421,0.3548,0.5400
3,0.1,0.8421,0.2903,0.5000
4,0.1,0.7895,0.1613,0.4000
5,0.1,0.7895,0.3548,0.5200
1,0.15000000000000002,0.5263,0.3548,0.4200
2,0.15000000000000002,0.7895,0.3226,0.5000
3,0.15000000000000002,0.4211,0.4194,0.4200
4,0.15000000000000002,0.6842,0.2903,0.4400
5,0.15000000000000002,0.6842,0.2903,0.4400
1,0.2,0.8421,0.4194,0.5800
2,0.2,0.6316,0.4194,0.5000
3,0.2,0.7368,0.3871,0.5200
4,0.2,0.6316,0.3226,0.4400
5,0.2,0.6316,0.4194,0.5000
1,0.25,0.6316,0.4516,0.5200
2,0.25,0.7895,0.3548,0.5200
3,0.25,0.5789,0.4194,0.4800
4,0.25,0.7895,0.6129,0.6800
5,0.25,0.4737,0.4516,0.4600
1,0.30000000000000004,0.6842,0.4839,0.5600
2,0.30000000000000004,0.7895,0.3226,0.5000
3,0.30000000000000004,0.5789,0.5484,0.5600
4,0.30000000000000004,0.5263,0.4839,0.5000
5,0.30000000000000004,0.6842,0.5806,0.6200
1,0.35000000000000003,0.5789,0.4839,0.5200
2,0.35000000000000003,0.5789,0.5806,0.5800
3,0.35000000000000003,0.6316,0.5161,0.5600
4,0.35000000000000003,0.7368,0.5806,0.6400
5,0.35000000000000003,0.6842,0.5806,0.6200
1,0.4,0.5263,0.3548,0.4200
2,0.4,0.8421,0.4194,0.5800
3,0.4,0.5263,0.3871,0.4400
4,0.4,0.7895,0.4194,0.5600
5,0.4,0.6842,0.4839,0.5600
1,0.45,0.6316,0.4839,0.5400
2,0.45,0.6842,0.6129,0.6400
3,0.45,0.6316,0.5161,0.5600
4,0.45,0.6842,0.3871,0.5000
5,0.45,0.5789,0.4839,0.5200
1,0.5,0.5263,0.7419,0.6600
2,0.5,0.5263,0.6774,0.6200
3,0.5,0.7368,0.5484,0.6200
4,0.5,0.6842,0.5161,0.5800
5,0.5,0.3158,0.6129,0.5000
1,0.55,0.5789,0.5161,0.5400
2,0.55,0.5263,0.4839,0.5000
3,0.55,0.6316,0.7097,0.6800
4,0.55,0.6842,0.4516,0.5400
5,0.55,0.7368,0.5806,0.6400
1,0.6000000000000001,0.3684,0.4839,0.4400
2,0.6000000000000001,0.3684,0.7742,0.6200
3,0.6000000000000001,0.4737,0.7097,0.6200
4,0.6000000000000001,0.2632,0.6774,0.5200
5,0.6000000000000001,0.4737,0.6452,0.5800
1,0.65,0.7368,0.5161,0.6000
2,0.65,0.6316,0.4839,0.5400
3,0.65,0.6842,0.4839,0.5600
4,0.65,0.4211,0.8065,0.6600
5,0.65,0.6316,0.5484,0.5800
1,0.7000000000000001,0.6842,0.5484,0.6000
2,0.7000000000000001,0.5789,0.5161,0.5400
3,0.7000000000000001,0.6316,0.4194,0.5000
4,0.7000000000000001,0.6316,0.4839,0.5400
5,0.7000000000000001,0.6842,0.4516,0.5400
1,0.75,0.2632,0.7419,0.5600
2,0.75,0.4211,0.7419,0.6200
3,0.75,0.3158,0.8387,0.6400
4,0.75,0.3684,0.8387,0.6600
5,0.75,0.2632,0.7742,0.5800
1,0.8,0.5789,0.3871,0.4600
2,0.8,0.7895,0.4839,0.6000
3,0.8,0.6316,0.4839,0.5400
4,0.8,0.4737,0.4516,0.4600
5,0.8,0.8421,0.5484,0.6600
1,0.8500000000000001,0.6842,0.7742,0.7400
2,0.8500000000000001,0.5263,0.6774,0.6200
3,0.8500000000000001,0.5789,0.7419,0.6800
4,0.8500000000000001,0.6316,0.7419,0.7000
5,0.8500000000000001,0.5263,0.6774,0.6200
1,0.9,0.5789,0.5161,0.5400
2,0.9,0.6316,0.3226,0.4400
3,0.9,0.5263,0.4839,0.5000
4,0.9,0.6842,0.5484,0.6000
5,0.9,0.7368,0.2903,0.4600
1,0.9500000000000001,0.7368,0.3226,0.4800
2,0.9500000000000001,0.4737,0.3548,0.4000
3,0.9500000000000001,0.5263,0.3548,0.4200
4,0.9500000000000001,0.8947,0.3548,0.5600
5,0.9500000000000001,0.6316,0.3871,0.4800
1,1.0,0.4211,0.7419,0.6200
2,1.0,0.7895,0.4839,0.6000
3,1.0,0.5789,0.5484,0.5600
4,1.0,0.8421,0.5161,0.6400
5,1.0,0.6316,0.5484,0.5800
1,0.55,0.4211,0.8065,0.6600
2,0.55,0.4211,0.7419,0.6200
3,0.55,0.6842,0.6774,0.6800
4,0.55,0.5789,0.7419,0.6800
5,0.55,0.4737,0.7742,0.6600
1,0.5,0.8421,0.5161,0.6400
2,0.5,0.6842,0.5161,0.5800
3,0.5,0.6842,0.6129,0.6400
4,0.5,0.6316,0.6452,0.6400
5,0.5,0.7895,0.4839,0.6000
1,0.5,0.8889,0.6667,0.7500
2,0.5,0.5556,0.4667,0.5000
3,0.5,0.6667,0.6000,0.6250
4,0.5,0.7778,0.6667,0.7083
5,0.5,0.4444,0.2667,0.3333
1,0.5,0.5789,0.6774,0.6400
2,0.5,0.8421,0.5806,0.6800
3,0.5,0.6316,0.6129,0.6200
4,0.5,0.8947,0.6129,0.7200
5,0.5,0.7368,0.6774,0.7000
1,0.5,0.7368,0.6129,0.6600
2,0.5,0.6842,0.3548,0.4800
3,0.5,0.8421,0.5806,0.6800
4,0.5,0.8421,0.7742,0.8000
