spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.3958,0.8682,0.6272,0.2014,0.4726,0.7346,0.5373,3
1,0.8113,1.0872,0.8039,0.5603,0.6915,0.9536,0.7562,3
2,0.8162,0.4976,0.5680,0.6902,0.5009,0.2951,0.3543,5
3,0.8650,0.2026,0.3942,0.7777,0.5066,0.2549,0.4418,1
4,0.8662,0.3021,0.2170,0.5165,0.3360,0.2042,0.2584,5
5,0.9782,0.9905,0.7072,0.3237,0.5949,0.8569,0.6596,3
6,0.9953,0.4696,0.5400,0.7108,0.4729,0.2786,0.3749,5
7,1.0618,0.4517,0.6086,0.9921,0.7210,0.4589,0.6563,1
8,1.0859,0.3285,0.6118,0.9953,0.7242,0.4621,0.6594,1
9,1.1609,0.2825,0.2553,0.6387,0.4869,0.3551,0.4093,2
10,1.5769,0.5202,0.5906,0.7614,0.5235,0.3093,0.4255,5
11,1.6524,0.5252,0.5512,0.5028,0.4840,0.3798,0.2689,6
12,1.6741,0.7430,0.7289,1.1572,1.0738,0.9420,0.9962,2
13,1.6825,0.5202,0.5907,0.3194,0.5236,0.3538,0.3085,6
14,2.0248,0.5622,0.8455,1.2290,0.9579,0.6958,0.8932,1
15,2.0769,0.4631,0.6200,1.0035,0.7324,0.4703,0.6676,1
16,2.1707,0.5234,0.5938,0.7645,0.5267,0.3125,0.4287,5
17,2.3006,0.5230,0.5934,0.3999,0.5263,0.3759,0.3112,6
18,2.3648,0.5300,0.6004,0.5521,0.5333,0.3305,0.3182,6
19,2.4080,0.3240,0.5510,0.9345,0.6634,0.5230,0.5986,1
20,2.4243,0.2788,0.5621,0.9456,0.6745,0.4124,0.6098,1
21,2.4599,0.5021,0.5725,0.7433,0.5054,0.2912,0.4074,5
22,2.4765,0.3585,0.6418,1.0253,0.7542,0.4921,0.6894,1
23,2.5383,0.5093,0.4993,0.6214,0.4478,0.3639,0.2883,6
24,2.5547,0.2010,0.3926,0.7761,0.5049,0.2566,0.4402,1
25,2.5578,0.8919,0.6184,0.6142,0.4962,0.7583,0.5609,4
26,2.6898,0.5122,0.5826,0.7533,0.5155,0.3013,0.4175,5
27,2.7273,0.5516,0.5122,0.1602,0.4901,0.4062,0.2621,3
28,2.7306,0.2862,0.5695,0.9530,0.6819,0.4275,0.6172,1
29,2.8078,0.5929,0.6634,0.7855,0.5963,0.3821,0.4496,5
30,2.8508,0.6420,0.3587,0.3564,0.3133,0.5084,0.3111,6
31,2.8696,0.2942,0.5775,0.9610,0.6898,0.4278,0.6251,1
32,2.9029,0.5437,0.6141,0.5657,0.5470,0.3328,0.3319,6
33,3.3577,0.5527,0.6232,0.7453,0.5561,0.3419,0.4094,5
34,3.8930,0.5632,0.6336,0.7557,0.5665,0.3523,0.4199,5
35,4.1057,0.2743,0.5576,0.9411,0.6700,0.4394,0.6052,1
36,4.1574,0.4794,0.5498,0.7206,0.4827,0.2688,0.3847,5
37,4.2932,0.9065,0.7097,0.2814,0.5108,0.7729,0.5756,3
38,4.2947,1.0844,1.0710,0.7028,0.7261,0.9508,0.8037,3
39,4.3175,0.4699,0.5387,0.6608,0.4716,0.3244,0.3250,5
40,4.3906,0.5227,0.5672,0.2959,0.5001,0.3773,0.2850,6
41,4.6224,0.5686,0.6390,0.8098,0.5719,0.3577,0.4739,5
42,4.6978,0.5118,0.5823,0.7530,0.5152,0.3010,0.4172,5
43,4.6987,0.4562,0.6131,0.9966,0.7254,0.4634,0.6607,1
44,4.9970,0.2361,0.4277,0.8112,0.5401,0.2780,0.4753,1
45,5.0314,0.5175,0.6744,1.0579,0.7867,0.5246,0.7220,1
46,5.1558,1.3047,1.0214,0.7448,0.9091,1.1712,0.9738,3
47,5.5876,0.2791,0.2644,0.5353,0.2845,0.1527,0.2069,5
48,6.2762,0.8198,0.5365,0.1976,0.5939,0.6862,0.4889,3
49,6.4064,0.5153,0.5732,0.4101,0.5061,0.3698,0.2910,6
50,6.4256,0.2358,0.4274,0.8109,0.5397,0.2777,0.4750,1
51,6.4880,0.2611,0.3315,0.6310,0.3598,0.0978,0.2951,5
52,6.6262,1.2185,0.9489,0.9161,0.8228,1.0849,0.8876,4
53,6.7027,0.6308,0.4456,0.4003,0.5693,0.4853,0.3413,6
54,6.7121,0.4517,0.6086,0.9921,0.7210,0.4589,0.6562,1
55,6.8108,0.5108,0.5813,0.5329,0.5142,0.3497,0.2991,6
56,6.8347,0.4294,0.5863,0.9698,0.6987,0.4366,0.6339,1
57,6.8821,0.2796,0.5184,0.9019,0.6308,0.4786,0.5661,1
58,6.9704,0.5797,0.6501,0.6018,0.5830,0.3688,0.3679,6
59,7.6773,0.5169,0.5595,0.5111,0.4924,0.3715,0.2773,6
60,7.8861,0.5465,0.6169,0.4538,0.5498,0.3356,0.3347,6
61,7.9555,0.4804,0.6373,1.0208,0.7497,0.4876,0.6849,1
62,8.0617,0.6746,0.4476,0.1404,0.6130,0.5291,0.3851,3
63,8.0631,0.3355,0.6188,1.0023,0.7312,0.4691,0.6664,1
64,8.1087,0.5735,0.6439,0.4808,0.5768,0.3626,0.3617,6
65,8.1589,0.4056,0.5625,0.9460,0.6749,0.4128,0.6102,1
66,8.1761,0.2365,0.2826,0.5820,0.3109,0.1386,0.2462,5
67,8.1880,0.5312,0.5452,0.4968,0.4780,0.3858,0.2629,6
68,8.2169,0.5529,0.6233,0.7455,0.5562,0.3421,0.4096,5
69,8.2294,0.5675,0.5472,0.3537,0.5060,0.4221,0.2780,6
70,8.2473,0.6520,0.7224,0.6741,0.6553,0.4411,0.4402,6
71,8.2791,0.5569,0.6273,0.7495,0.5602,0.3460,0.4136,5
72,8.3401,0.5270,0.5974,0.7681,0.5303,0.3161,0.4323,5
73,8.3626,0.5766,0.6470,0.3503,0.5799,0.3657,0.3648,3
74,8.4386,0.5091,0.5795,0.7503,0.5124,0.2982,0.4144,5
75,8.4394,0.6828,0.5396,0.1558,0.4568,0.5492,0.3519,3
76,8.4413,0.5164,0.5868,0.4237,0.5197,0.3562,0.3046,6
77,8.4567,0.9164,0.6985,0.4478,0.5208,0.7828,0.5855,3
78,8.4668,0.6858,0.4946,0.8879,0.4157,0.6299,0.6309,4
79,8.5331,0.9947,1.0651,0.5731,0.9980,0.7838,0.7829,3
80,8.5885,0.4847,0.6416,1.0250,0.7539,0.4918,0.6892,1
81,8.7342,0.6306,0.4593,0.1880,0.5691,0.4852,0.3411,3
82,9.1758,0.2660,0.2759,0.6594,0.5051,0.3732,0.4274,1
83,9.3481,0.6113,0.6254,0.2417,0.4502,0.4633,0.3581,3
84,9.6695,0.5748,0.6452,0.7674,0.5781,0.3639,0.4315,5
85,9.7142,1.0461,1.1165,0.6245,1.0494,0.8352,0.8343,3
86,9.8948,0.3222,0.2433,0.3896,0.2607,0.1768,0.1254,6
87,10.0294,0.5376,0.5388,0.4905,0.4761,0.3921,0.2566,6
88,10.1088,1.3401,1.1131,0.9949,1.2786,1.1947,1.0506,3
