spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.0019,0.9420,0.7122,0.2752,0.8776,0.8084,0.6496,3
1,0.0192,1.0966,1.1670,0.6750,1.0999,0.8857,0.8848,3
2,0.0368,1.3308,1.2603,1.7524,1.3274,1.5416,1.5425,2
3,0.0401,0.5586,0.5362,0.9834,0.5553,0.7695,0.7704,2
4,0.0418,0.4603,0.6873,1.1345,0.6631,0.6058,0.7498,1
5,0.0485,0.2907,0.5176,0.9648,0.4935,0.4361,0.5802,1
6,0.0735,0.7403,0.6699,1.1619,0.7370,0.9512,0.9521,2
7,0.0919,0.6794,0.6090,1.1010,0.8211,0.8903,0.8912,2
8,0.1062,1.2688,1.1984,1.6904,1.2655,1.4797,1.4806,2
9,0.4822,0.6664,0.7368,0.3209,0.6697,0.4555,0.4546,3
10,0.4948,0.5478,0.6183,0.1327,0.5511,0.4086,0.3360,3
11,0.7105,0.6824,0.7528,0.4181,0.6857,0.4715,0.4706,3
12,0.7934,0.9064,0.9769,0.4848,0.9098,0.6956,0.6947,3
13,0.9848,0.6595,0.7299,0.3339,0.6628,0.4486,0.4477,3
14,1.5540,0.6924,0.7628,0.6766,0.6957,0.4816,0.4806,6
15,1.8385,0.7030,0.7734,0.7255,0.7063,0.4921,0.4912,6
16,2.1205,0.4239,0.5187,0.9022,0.6311,0.3690,0.5663,5
17,2.1793,0.6985,0.7690,0.7210,0.7019,0.4877,0.4868,6
18,2.1841,0.4771,0.5476,0.7624,0.4913,0.2663,0.4265,5
19,2.2151,0.7084,0.7789,0.6926,0.7118,0.4976,0.4966,6
20,2.2279,0.7050,0.7755,0.7275,0.7084,0.4942,0.4933,6
21,2.3026,1.1030,1.1735,0.6814,1.1063,0.8922,0.8912,3
22,2.3039,0.7241,0.7945,0.5741,0.7274,0.5132,0.5123,6
23,2.3430,0.4132,0.4273,0.5847,0.3205,0.2142,0.2000,6
24,2.4501,0.6264,0.6968,0.8844,0.6297,0.4155,0.5485,5
25,2.4766,0.7136,0.7840,0.7360,0.7169,0.5027,0.5018,6
26,2.5288,0.7139,0.7844,0.3421,0.7172,0.5031,0.5021,3
27,2.5410,0.4199,0.5147,0.8982,0.6271,0.3650,0.5623,5
28,2.5512,0.6302,0.7007,0.8882,0.6335,0.4194,0.5523,5
29,2.5552,0.7406,0.8111,0.5906,0.7440,0.5298,0.5289,6
30,2.6063,0.4469,0.7302,1.1137,0.8426,0.5805,0.7778,1
31,2.6226,0.6348,0.7052,0.8927,0.6381,0.4239,0.5569,5
32,2.6241,0.6320,0.7025,0.8900,0.6354,0.4212,0.5541,5
33,2.6314,0.6798,0.6939,0.2656,0.5872,0.4808,0.4266,3
34,2.6463,0.6367,0.7071,0.8947,0.6400,0.4258,0.5588,5
35,2.6517,0.7048,0.7752,0.6889,0.7081,0.4939,0.4930,6
36,2.6528,0.7427,0.8131,0.4784,0.7460,0.5318,0.5309,3
37,2.6887,0.6374,0.7078,0.8953,0.6407,0.4265,0.5595,5
38,2.6957,0.6989,0.7694,0.7214,0.7022,0.4881,0.4871,6
39,2.7039,0.7101,0.7805,0.6943,0.7134,0.4992,0.4983,6
40,2.7187,0.6222,0.6926,0.8802,0.6255,0.4113,0.5443,5
41,2.7197,1.1502,1.2206,0.7286,1.1535,0.9393,0.9384,3
42,2.7233,0.1392,0.3590,0.7527,0.4713,0.2240,0.4066,1
43,2.7416,1.0700,1.1405,0.6484,1.0734,0.8592,0.8583,3
44,2.7477,0.7332,0.8037,0.5832,0.7365,0.5224,0.5214,6
45,2.7484,0.7471,0.8176,0.4829,0.7504,0.5363,0.5353,3
46,2.7679,1.0754,1.1459,0.6538,1.0787,0.8646,0.8636,3
47,2.8964,0.4141,0.6974,1.0809,0.8098,0.5477,0.7450,1
48,3.4916,0.6490,0.7194,0.9069,0.6523,0.4381,0.5711,5
49,4.4492,0.7104,0.7808,0.7328,0.7137,0.4995,0.4986,6
50,4.4613,0.7263,0.7967,0.7105,0.7296,0.5154,0.5145,6
51,4.4625,0.6946,0.7650,0.7170,0.6979,0.4837,0.4828,6
52,4.4985,0.3889,0.4594,0.3219,0.3923,0.2178,0.1772,6
53,4.5083,0.6779,0.7483,0.4375,0.6812,0.4670,0.4661,3
54,4.5332,0.6304,0.7009,0.8884,0.6338,0.4196,0.5525,5
55,4.5467,0.7073,0.7778,0.6915,0.7106,0.4965,0.4955,6
56,4.5612,0.6455,0.7160,0.6297,0.6489,0.4347,0.4337,6
57,4.5857,0.6379,0.7084,0.8959,0.6413,0.4271,0.5600,5
58,4.5931,0.6204,0.6908,0.8783,0.6237,0.4095,0.5425,5
59,4.6118,0.4883,0.5588,0.7463,0.4917,0.2775,0.4104,5
60,4.6485,0.7231,0.7935,0.5730,0.7264,0.5122,0.5113,6
61,4.6563,0.7393,0.8098,0.5893,0.7426,0.5285,0.5275,6
62,5.2751,0.6587,0.7291,0.9166,0.6620,0.4478,0.5808,5
63,5.2775,0.7412,0.8117,0.7254,0.7446,0.5304,0.5295,6
64,5.3783,1.0358,1.1062,0.6142,1.0391,0.8249,0.8240,3
65,5.4054,0.7009,0.7713,0.5508,0.7042,0.4900,0.4891,6
66,5.4268,0.7428,0.8132,0.5928,0.7461,0.5319,0.5310,6
67,5.9384,0.4633,0.5337,0.5871,0.4666,0.2524,0.2515,6
68,6.0770,0.2351,0.5184,0.9019,0.6308,0.3687,0.5660,1
69,6.1387,0.4564,0.5269,0.7144,0.4597,0.2456,0.3785,5
70,6.1814,1.1246,1.1950,0.7030,1.1279,0.9137,0.9128,3
71,6.2003,0.7026,0.7730,0.4622,0.7059,0.4917,0.4908,3
72,6.6341,0.7076,0.7780,0.4672,0.7109,0.4967,0.4958,3
73,7.1562,0.6971,0.7676,0.6813,0.7004,0.4863,0.4853,6
74,7.3306,0.7400,0.8104,0.5900,0.7433,0.5291,0.5282,6
75,7.3536,0.4499,0.7332,1.1167,0.8456,0.5835,0.7808,1
76,7.4173,0.6559,0.7263,0.9139,0.6592,0.4450,0.5780,5
77,8.1196,0.6744,0.7448,0.6968,0.6777,0.4635,0.4626,6
78,8.5417,0.4127,0.5075,0.8910,0.6198,0.3578,0.5551,5
79,8.6695,0.3225,0.6059,0.9893,0.7182,0.4561,0.6535,1
80,8.6925,0.7017,0.7721,0.6859,0.7050,0.4908,0.4899,6
81,8.7472,0.6790,0.6931,0.4340,0.3964,0.4800,0.4258,4
82,9.6460,0.6282,0.6986,0.8861,0.6315,0.4173,0.5503,5
83,9.9371,0.6867,0.7572,0.7092,0.6900,0.4759,0.4749,6
84,9.9376,1.1721,1.2426,0.7505,1.1755,0.9613,0.9603,3
85,9.9730,0.6499,0.7203,0.9078,0.6532,0.4390,0.5720,5
86,10.0247,0.7263,0.7967,0.7105,0.7296,0.5154,0.5145,6
87,10.0497,0.6401,0.7105,0.8981,0.6434,0.4292,0.5622,5
88,10.0512,0.7197,0.7901,0.7421,0.7230,0.5088,0.5079,6
89,10.0612,0.4081,0.5029,0.8864,0.6153,0.3532,0.5505,5
90,10.0788,0.4269,0.5217,0.9052,0.6340,0.3720,0.5693,5
91,10.0945,0.6441,0.7146,0.9021,0.6474,0.4333,0.5662,5
92,10.0997,0.4973,0.5678,0.5986,0.5006,0.2865,0.2855,6
93,10.1030,0.6558,0.7262,0.9137,0.6591,0.4449,0.5779,5
94,10.1054,0.7204,0.7909,0.7429,0.7238,0.5096,0.5087,6
