spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.2749,0.5883,0.6588,0.8067,0.5917,0.3775,0.4708,5
1,0.2931,0.5944,0.6648,0.5883,0.5977,0.3950,0.3826,6
2,0.2938,0.6894,0.7598,0.6468,0.6927,0.4785,0.4776,6
3,0.3561,0.7795,0.5525,0.5209,0.7180,0.6341,0.4900,6
4,0.5101,1.0372,1.1076,0.6156,1.0405,0.8317,0.8254,3
5,0.5145,0.3291,0.4465,0.8300,0.6599,0.5281,0.5823,1
6,0.8013,0.2472,0.5305,0.9140,0.6429,0.4441,0.5782,1
7,0.8221,0.6055,0.6759,0.5995,0.6088,0.3946,0.3937,6
8,0.8486,0.5466,0.6170,0.7649,0.5499,0.3357,0.4291,5
9,0.8671,0.3694,0.4398,0.7976,0.5265,0.2644,0.4618,5
10,0.9490,0.3799,0.2780,0.6358,0.4722,0.3404,0.3946,2
11,1.0291,0.2496,0.5329,0.9164,0.6452,0.4417,0.5805,1
12,1.1876,0.6186,0.6890,0.8369,0.6219,0.4077,0.5011,5
13,1.2714,1.0588,0.8977,0.4057,0.9973,0.9133,0.7693,3
14,1.6986,0.4256,0.7089,1.0924,0.8213,0.5592,0.7565,1
15,2.0023,0.4953,0.2683,0.4871,0.4338,0.3499,0.3261,2
16,2.0867,0.2832,0.5405,0.9240,0.6529,0.4822,0.5881,1
17,2.2701,0.2518,0.5238,0.9073,0.6362,0.4508,0.5714,1
18,2.5117,0.3259,0.1636,0.5920,0.5085,0.3767,0.4309,2
19,2.5526,0.5544,0.2711,0.6228,0.2114,0.4208,0.4130,4
20,2.6033,0.6067,0.6771,0.5641,0.6100,0.4149,0.3949,6
21,2.6224,0.3728,0.6561,1.0396,0.7684,0.5064,0.7037,1
22,2.6587,0.5867,0.6572,0.8051,0.5900,0.3759,0.4692,5
23,2.7464,0.6733,0.7437,0.6308,0.6766,0.4624,0.4615,6
24,2.7467,0.5762,0.6466,0.7946,0.5795,0.3654,0.4587,5
25,2.7487,0.5956,0.6661,0.5531,0.5989,0.4259,0.3838,6
26,2.8161,0.6721,0.5332,0.4567,0.6106,0.5267,0.3826,6
27,2.8319,0.2855,0.5382,0.9217,0.6505,0.4845,0.5858,1
28,2.8590,0.8565,0.6296,0.3475,0.7950,0.7111,0.5670,3
29,2.8609,0.5247,0.2977,0.6216,0.5381,0.4063,0.4605,2
30,2.8638,0.3045,0.5878,0.9713,0.7002,0.4381,0.6354,1
31,2.8655,0.5127,0.4987,0.9270,0.8436,0.7117,0.7660,2
32,2.8697,0.7428,0.5159,0.3199,0.6813,0.5974,0.4533,3
33,2.8757,0.5014,0.2744,0.4932,0.4399,0.3560,0.3322,2
34,2.8819,0.3370,0.1101,0.4339,0.3505,0.2186,0.2729,2
35,2.8866,0.4008,0.3867,0.8150,0.7316,0.5998,0.6540,2
36,2.8890,1.0619,1.1324,0.6403,1.0653,0.8511,0.8502,3
37,2.9010,0.3316,0.1047,0.4285,0.3451,0.2132,0.2675,2
38,2.9030,0.4721,0.2451,0.6478,0.5644,0.4325,0.4868,2
39,2.9064,0.5632,0.3363,0.5291,0.5017,0.4178,0.3680,2
40,2.9106,0.8204,0.5935,0.6584,0.7589,0.6750,0.5309,6
41,2.9193,0.6631,0.4361,0.6289,0.6016,0.5177,0.4679,2
42,2.9227,0.7536,0.5267,0.4586,0.6921,0.6082,0.4641,3
43,2.9236,0.4585,0.2746,0.4503,0.3970,0.3130,0.2893,2
44,2.9296,0.5317,0.2484,0.5049,0.3713,0.3981,0.2951,2
45,2.9373,0.3134,0.3445,0.7024,0.4312,0.2739,0.3665,5
46,2.9414,0.2224,0.3459,0.7294,0.5533,0.4214,0.4756,1
47,2.9424,1.0554,0.8285,0.5464,0.9939,0.9100,0.7659,3
48,2.9433,0.6837,0.4004,0.6742,0.5277,0.5501,0.4644,2
49,2.9577,0.3211,0.3368,0.6946,0.4235,0.2816,0.3588,5
50,2.9647,0.6845,0.4012,0.7674,0.3604,0.5567,0.5576,4
51,2.9671,0.6081,0.6785,0.5656,0.6114,0.4134,0.3963,6
52,2.9700,0.3228,0.3933,0.7511,0.4800,0.2251,0.4152,5
53,2.9706,0.4235,0.2344,0.5992,0.5158,0.3840,0.4382,2
