spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.0100,1.1316,0.8483,0.9397,0.7359,0.9980,0.8007,4
1,0.0276,0.7695,0.6485,0.2201,0.4199,0.6359,0.4385,3
2,0.3594,0.5796,0.6500,0.5975,0.5829,0.3687,0.3678,6
3,0.3597,0.5936,0.6641,0.4992,0.5969,0.3828,0.3818,6
4,0.3613,0.6201,0.6905,0.8050,0.6234,0.4092,0.4692,5
5,0.3632,0.1314,0.1538,0.5427,0.3436,0.2218,0.2660,1
6,0.3635,0.5932,0.6636,0.6111,0.5965,0.3823,0.3814,6
7,0.3650,0.5956,0.6661,0.8282,0.5989,0.3848,0.4923,5
8,0.3696,0.5918,0.6622,0.7767,0.5951,0.3809,0.4408,5
9,0.3700,0.2990,0.4751,0.8586,0.5875,0.3254,0.5227,1
10,0.3706,1.0275,0.9455,0.5171,0.6318,0.8939,0.6965,3
11,0.3712,1.0041,1.0182,0.5899,0.6733,0.8051,0.7509,3
12,0.3719,0.7875,0.8016,1.1441,0.5315,0.6154,0.7595,4
13,0.3737,0.5965,0.6669,0.3170,0.5998,0.3856,0.3847,3
14,0.3741,0.4595,0.4736,0.4848,0.3681,0.2605,0.2063,6
15,0.3752,0.6254,0.6959,0.5013,0.6287,0.4146,0.4136,6
16,0.3754,0.7632,0.7773,0.8733,0.4324,0.5642,0.5100,4
17,0.3759,0.6280,0.9114,1.2948,1.0237,0.7616,0.9590,1
18,0.3764,0.6539,0.4659,0.3070,0.5924,0.5085,0.3644,3
19,0.3780,0.4208,0.4349,0.4461,0.3294,0.2218,0.1676,6
20,0.3784,0.5706,0.6410,0.8031,0.5739,0.3597,0.4673,5
21,0.3785,0.3637,0.6470,1.0305,0.7594,0.4973,0.6946,1
22,0.3789,0.5900,0.6605,0.3897,0.5934,0.3792,0.3782,6
23,0.3793,0.6457,0.7161,0.5216,0.6490,0.4348,0.4339,6
24,0.3798,0.9143,0.9848,0.4927,0.9177,0.7518,0.7026,3
